trial type mov.direction cursor.rotation selector_angle selector_prop max_vel vmax_x vmax_y final_x final_y movement_overshoot overshoot_answer timestamp
52 active 0 -20.4 nan nan 0.38151341947650147 -0.04852373685024017 0.015534149339584635 -0.0684540744480457 0.08920954552856764 nan nan 1626982406.3880043
53 active 0 nan nan nan 0.3831854633971835 -0.04950833373625623 0.000476111014524494 -0.07620982778707956 0.09534605138890417 nan nan 1626982412.6184223
54 active 0 -21.2 nan nan 0.3847845213521183 -0.05648555227864011 0.02533368299177441 -0.06914392235038094 0.08771549239459298 nan nan 1626982418.6210744
55 active 0 -21.6 nan nan 0.31060092549175244 -0.044897127167393774 -0.0022240682145251434 -0.07066607873154797 0.08331662950329599 nan nan 1626982424.8856056
56 active 0 -22.0 nan nan 0.34402270213000163 -0.05129759206090098 0.017047759972158905 -0.07338896550326945 0.0727844182363151 nan nan 1626982430.9687665
57 active 0 -22.4 nan nan 0.4290315231803471 -0.04594140702118148 0.005085757152576198 -0.07864926195810941 0.08317616402449557 nan nan 1626982437.5038853
58 active 0 -22.8 nan nan 0.319670734017907 -0.04925638754049181 0.01899169232034481 -0.07275542600439418 0.09425618997440055 nan nan 1626982443.5078537
59 active 0 -23.2 nan nan 0.34596273121677296 -0.050332430892253 0.01955576650276658 -0.07981447036014608 0.07987075507311625 nan nan 1626982450.0755823
60 active 0 -23.6 nan nan 0.3348621800526304 -0.05140437000237158 0.012462816289504186 -0.07431415837507736 0.07873421933571412 nan nan 1626982456.3216772
61 active 0 nan nan nan 0.39781735919610184 -0.055032758367979384 0.008551394951329394 -0.07596820526242914 0.09168400169405311 nan nan 1626982462.8121345
62 active 0 -24.4 nan nan 0.34005289686878043 -0.050887189884419204 0.015802326889202356 -0.07777291862712273 0.08819581723729208 nan nan 1626982468.788098
63 active 0 -24.8 nan nan 0.35752302757622795 -0.056749680060331494 0.005089908875753113 -0.09269690420918743 0.07855965201451709 nan nan 1626982474.9990861
64 active 0 -25.2 nan nan 0.3554094299587679 -0.042821838691050475 -0.005786068632900876 -0.08616932941307502 0.07200919971185094 nan nan 1626982481.1589558
65 active 0 -25.6 nan nan 0.3532959564878327 -0.05370438127085688 0.015047488657287889 -0.08392482783990698 0.07339481670393555 nan nan 1626982487.211904
66 active 0 -26.0 nan nan 0.33321949590101146 -0.058672011796479545 0.01636469523783335 -0.09065278349878206 0.08305423782651022 nan nan 1626982493.5717056
67 active 0 -26.4 nan nan 0.3231027683302502 -0.05205673890081502 0.006619075670031838 -0.09214594996839823 0.08241741383109691 nan nan 1626982499.7594256
68 active 0 -26.8 nan nan 0.3354612323420947 -0.05047397396822995 0.006548789465882443 -0.08659607762062994 0.07987908595337645 nan nan 1626982506.0456557
69 active 0 -27.2 nan nan 0.29541402510396725 -0.051496338362563475 -0.001004472448144611 -0.08313681323456813 0.0820799851959827 nan nan 1626982512.2141707
70 active 0 -27.6 nan nan 0.3385603490194959 -0.059129059060690194 0.01647804898598193 -0.09240770368254714 0.072636655992657 nan nan 1626982518.4241934
71 active 0 nan nan nan 0.31938826342989185 -0.05787786905630002 0.00030193545710965886 -0.09422292001663723 0.08095455890718972 nan nan 1626982524.8800151
72 active 0 -28.4 nan nan 0.32249664208226914 -0.05272926825020229 -0.0018850143450273027 -0.0911746885385356 0.08026665100836505 nan nan 1626982530.9922743
73 active 0 -28.8 nan nan 0.30364649253129683 -0.05605900861311964 0.008880996070466551 -0.09550196216078398 0.0802526369372949 nan nan 1626982537.083287
74 active 0 -29.2 nan nan 0.3459340702604211 -0.05795040212358108 0.01119921642380206 -0.09157312242838865 0.08066031202153034 nan nan 1626982543.3979697
75 active 0 -29.6 nan nan 0.29811320687413717 -0.054762796017025384 0.008426429068773333 -0.0912771256577937 0.06894742037914414 nan nan 1626982550.0374823
76 active 0 -30.0 nan nan 0.30090740780179304 -0.05162839218833473 0.002107970363465772 -0.0914021896382917 0.0787259611445682 nan nan 1626982556.5456636
77 active 0 nan nan nan 0.3947538395847448 -0.052595400371422886 0.010763507895705349 -0.092562642161562 0.0810876069715809 nan nan 1626982562.7819445
78 active 0 -30.0 nan nan 0.2928431248192338 -0.05370149401112661 0.005404093851107183 -0.08898478316348064 0.07809265886681493 nan nan 1626982569.1339326
79 active 0 -30.0 nan nan 0.3532734091285095 -0.050866809383451284 0.002307119710344363 -0.10190296616924423 0.0749263925704925 nan nan 1626982575.5422928
80 active 0 -30.0 nan nan 0.3237045374373866 -0.056609682609755164 0.003518788877132306 -0.10502087104580221 0.07600773378251036 nan nan 1626982581.6959946
